S.No.,Name,Price,P/E,Cap,QtrSV,QtrPV,QoQS,QoQP,Prom.,DII,FII,ExpQV,RSI,MACD,PromC,Down%,IntCov,SYMBOL
1.,Waaree Renewab.,2068.70,202.98,21545.35,338.81,158.05,116.04,252.43,74.46,0.09,0.00,175.86,74.53,152.52,-0.02,0.05,83.80,534618
2.,Lloyds Metals,694.70,28.38,35099.96,91.13,44.14,75.07,43.38,65.69,0.06,0.68,110.62,74.70,15.41,-0.06,2.22,81.99,LLOYDSME
3.,Suratwwala Busi.,947.30,77.52,1642.80,-57.03,-63.67,-10.85,-20.15,73.39,0.00,0.01,6573.78,71.18,36.68,0.00,2.59,75.99,SBGLP
4.,I R C T C,1031.75,72.65,82540.00,21.81,21.98,12.36,1.81,62.40,11.98,7.34,25.39,73.50,16.84,0.00,3.47,59.19,IRCTC
5.,Shilchar Tech.,5115.05,46.90,3901.17,72.78,119.43,11.00,6.93,64.01,0.00,3.55,57.56,70.15,121.84,-1.84,0.00,53.83,531201
6.,Jeena Sikho,1080.00,49.38,2684.89,,,34.05,41.28,67.91,0.00,1.79,,80.97,33.62,1.71,1.73,52.69,JSLL
7.,Anand Rathi Wea.,4136.00,76.91,17300.19,28.90,32.83,1.01,-2.03,48.21,9.16,3.01,32.05,63.22,34.09,-0.48,1.52,50.74,ANANDRATHI
8.,Hindustan Zinc,418.45,21.24,176808.43,-7.07,-5.52,7.63,17.33,64.92,2.98,0.60,-12.33,90.89,9.65,0.00,4.42,50.39,HINDZINC
9.,KP Green Engg.,454.95,186.78,2274.75,,,,,66.59,2.07,8.02,,,25.37,,0.00,44.25,544150
10.,Sharda Motor,1544.00,16.99,4590.54,0.45,62.93,-9.64,-4.97,73.20,0.30,1.79,6.43,72.48,21.27,0.00,3.51,37.88,SHARDAMOTR
11.,Doms Industries,1686.75,106.93,10236.36,22.35,46.32,-2.82,3.27,74.96,15.14,6.13,,64.23,44.17,-25.04,4.34,34.36,DOMS
12.,Last Mile Enter.,889.00,174.98,1501.41,-100.00,98.18,,-155.56,60.77,0.00,1.01,,72.59,62.53,0.00,0.49,32.81,526961
13.,Hind.Aeronautics,3666.25,39.92,245189.65,6.97,8.62,7.54,1.47,71.64,9.13,12.93,8.14,69.05,109.70,0.00,0.78,30.58,HAL
14.,A B B,6585.80,111.82,139558.65,13.62,12.84,-0.42,-6.67,75.00,6.92,10.72,22.25,74.62,327.25,0.00,2.77,30.49,ABB
