,Company Name,Industry,Symbol,Series,ISIN Code,Ticker,Name,Weight,Shares,Price
0,360 ONE WAM Ltd,Financial Services,360ONE,EQ,INE466L01038,360ONE IS Equity,360 ONE WAM Ltd,--,--,964.7
1,3M India Ltd,Diversified,3MINDIA,EQ,INE470A01017,3M IS Equity,3M India Ltd,--,--,38768.1016
2,ABB India Ltd,Capital Goods,ABB,EQ,INE117A01022,ABB IS Equity,ABB India Ltd,--,--,8679.4004
3,ACC Ltd,Construction Materials,ACC,EQ,INE012A01025,ACC IS Equity,ACC Ltd,--,--,2669.5
4,AIA Engineering Ltd,Capital Goods,AIAENG,EQ,INE212H01026,AIAE IS Equity,AIA Engineering Ltd,--,--,4262.3501
5,APL Apollo Tubes Ltd,Capital Goods,APLAPOLLO,EQ,INE702C01027,APAT IS Equity,APL Apollo Tubes Ltd,--,--,1569.65
6,AU Small Finance Bank Ltd,Financial Services,AUBANK,EQ,INE949L01017,AUBANK IS Equity,AU Small Finance Bank Ltd,--,--,672.6
7,Aarti Industries Ltd,Chemicals,AARTIIND,EQ,INE769A01020,ARTO IS Equity,Aarti Industries Ltd,--,--,721.9
8,Aavas Financiers Ltd,Financial Services,AAVAS,EQ,INE216P01012,AAVAS IS Equity,Aavas Financiers Ltd,--,--,1779.05
9,Abbott India Ltd,Healthcare,ABBOTINDIA,EQ,INE358A01014,BOOT IS Equity,Abbott India Ltd,--,--,27823.4492
10,Action Construction Equipment Ltd,Capital Goods,ACE,EQ,INE731H01025,ACCE IS Equity,Action Construction Equipment Ltd,--,--,1492.3
11,Adani Energy Solutions Ltd,Power,ADANIENSOL,EQ,INE931S01010,ADANIENS IS Equity,Adani Energy Solutions Ltd,--,--,1012.65
12,Adani Enterprises Ltd,Metals & Mining,ADANIENT,EQ,INE423A01024,ADE IS Equity,Adani Enterprises Ltd,--,--,3147.8999
13,Adani Green Energy Ltd,Power,ADANIGREEN,EQ,INE364U01010,ADANIGR IS Equity,Adani Green Energy Ltd,--,--,1754.3
14,Adani Power Ltd,Power,ADANIPOWER,EQ,INE814H01011,ADANI IS Equity,Adani Power Ltd,--,--,708.9
15,Adani Total Gas Ltd,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,ATGL IS Equity,Adani Total Gas Ltd,--,--,891.05
16,Adani Wilmar Ltd,Fast Moving Consumer Goods,AWL,EQ,INE699H01024,AWLTD IS Equity,Adani Wilmar Ltd,--,--,332.9
17,Aditya Birla Capital Ltd,Financial Services,ABCAPITAL,EQ,INE674K01013,ABCAP IS Equity,Aditya Birla Capital Ltd,--,--,236.01
18,Aditya Birla Fashion and Retail Ltd,Consumer Services,ABFRL,EQ,INE647O01011,ABFRL IS Equity,Aditya Birla Fashion and Retail Ltd,--,--,327.65
19,Aegis Logistics Ltd,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025,AEGISLOG IS Equity,Aegis Logistics Ltd,--,--,922.0
