S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Qtr Sales Var %,Qtr Profit Var %,QoQ Sales %,QoQ Profits %,Prom. Hold. %,DII Hold %,FII Hold %,Exp Qtr Sales Var %,RSI Rs.,MACD Signal Rs.,Change in Prom Hold %,ROCE,SYMBOL
1.,Addictive Learn,217.75,140.26,346.43,,,,,66.07,,,,35.91,-21.20,,552.49,LAWSIKHO
2.,Swadeshi Polytex,124.85,5.13,486.92,448.24,480.58,35.80,40.38,68.08,0.06,0.00,478.51,50.64,2.97,0.00,481.94,503816
3.,Kore Digital,1251.05,,440.37,822.22,307.84,320.50,65.08,71.38,0.00,0.00,,57.65,34.94,0.00,85.88,KDL
4.,Kalyani Cast-Tec,437.00,39.03,313.79,,,,,69.83,1.04,2.87,,41.97,-19.23,,83.21,544023
5.,Newjaisa Tecch,94.75,45.11,304.94,,,,,69.35,,,,42.02,-8.81,,82.71,NEWJAISA
6.,Ovobel Foods,216.55,6.62,227.39,-7.06,-95.70,10.72,-95.28,68.71,0.01,0.00,10.60,44.81,-5.43,-1.42,80.85,530741
7.,Vasa Denticity,509.35,107.34,815.79,,,,,69.62,1.69,0.00,,50.76,-22.21,0.00,80.11,DENTALKART
8.,Digikore Studios,577.00,83.62,365.40,,,,,66.55,7.89,2.79,,62.97,9.82,,75.72,DIGIKORE
9.,Platinum Industr,180.05,26.31,988.92,-6.15,-11.23,0.51,-12.94,71.00,5.07,6.17,,,-8.02,-25.87,74.76,PLATIND
10.,Kody Technolab,1000.00,200.43,637.38,,,,,73.01,0.00,0.00,,50.69,-3.26,,72.87,KODYTECH
11.,Remus Pharma.,5891.45,70.90,867.81,,,18.29,76.30,69.61,0.71,2.38,,49.56,-248.82,1.24,68.75,REMUS
12.,Cons. Finvest,234.35,2.27,758.46,316.47,-0.10,5.18,-0.70,74.89,0.02,2.53,12368.24,40.36,-9.66,0.00,65.96,CONSOFINVT
13.,Macfos,466.00,,411.73,,,15.57,21.95,73.66,0.09,0.21,,55.71,1.91,0.01,58.06,543787
14.,Delaplex,228.75,26.35,208.39,,,,,73.66,,,,36.99,-20.28,,55.26,DELAPLEX
15.,Nicco Parks,145.85,33.43,682.58,-2.66,-39.00,5.21,-11.43,68.44,0.00,0.00,21.86,51.89,-2.07,0.01,55.11,526721
16.,Baroda Rayon,171.35,20.23,392.59,20.05,-98.67,41.03,13.02,67.53,1.02,0.01,,40.79,-4.07,0.00,55.11,500270
17.,Global Education,240.55,14.09,489.77,52.06,79.19,-24.20,-30.26,70.94,0.00,0.14,48.95,45.19,-12.88,-2.22,54.26,GLOBAL
18.,Zeal Global Serv,201.15,26.53,267.73,,,67.52,-16.88,73.40,0.00,0.00,,41.85,-5.80,-26.60,53.21,ZEAL
19.,Hi-Green Carbon,180.15,38.25,450.19,,,-2.37,-21.12,71.83,0.27,6.40,,52.08,-7.49,0.00,52.65,HIGREEN
20.,Vinsys IT Servic,291.85,28.54,428.38,,,,,68.13,2.19,5.48,,59.03,1.19,-24.60,52.46,VINSYS
21.,Sigma Solve,383.20,24.09,393.83,11.69,88.89,-0.37,12.78,73.22,0.00,0.00,,38.31,-15.82,0.00,52.04,SIGMA
22.,PNGS Gargi FJ,539.50,69.54,519.43,83.49,167.80,64.63,88.10,73.00,0.00,0.00,63.73,46.38,-20.52,0.00,46.15,543709
23.,Avonmore Capital,93.95,17.69,219.40,61.84,14.36,30.01,37.27,69.17,0.01,0.01,15.96,42.75,-3.35,0.05,45.41,AVONMORE
24.,SKP Bearing,237.85,29.78,394.83,,,5.76,37.21,73.49,1.34,0.00,,44.20,-9.42,0.00,45.40,SKP
25.,Lords Chloro,124.30,,312.61,-21.73,-124.96,20.86,-162.30,74.66,0.04,0.00,-29.99,47.07,-4.07,-0.06,44.17,LORDSCHLO
26.,Concord Control,635.25,40.95,380.01,,,31.99,82.93,70.21,1.96,0.00,,43.62,-51.38,-3.32,42.92,543619
27.,Automotive Stamp,587.90,58.53,932.41,12.09,132.35,1.97,18.80,75.00,0.01,0.00,4.67,49.21,12.47,0.00,41.30,ASAL
28.,Systango Tech,325.75,26.89,477.84,,,-10.12,-15.47,71.96,1.68,0.22,,49.45,-1.22,0.00,41.18,SYSTANGO
29.,Sarthak Metals,207.85,15.49,284.54,-18.65,-77.09,-2.74,-68.60,69.61,0.00,0.69,-31.88,31.79,-16.03,0.00,41.00,SMLT
30.,Balaxi Pharma,508.70,16.05,525.70,-29.79,46.17,11.09,-5.82,71.22,0.02,17.45,-22.58,46.18,-7.12,0.00,38.52,BALAXI
31.,Crayons Advertis,174.05,28.07,425.20,,,-42.16,-49.10,73.50,0.00,5.30,,37.31,-10.45,0.00,38.41,CRAYONS
32.,Tips Films,662.25,,286.28,-1.43,-108.41,177.58,45.05,74.98,0.00,0.05,,44.27,-10.42,0.00,38.04,TIPSFILMS
33.,Anlon Tech,398.50,50.31,223.36,12.29,49.60,,,69.25,0.00,3.08,,59.96,38.14,0.00,37.58,ANLON
34.,ICE Make Refrig.,494.20,38.04,779.83,23.62,-54.40,7.21,-55.01,74.49,0.00,0.02,29.04,51.61,-23.08,0.00,36.94,ICEMAKE
35.,Paragon Fine,120.20,18.20,235.18,,,-15.94,-13.56,73.60,,,,43.55,-7.87,,36.49,PARAGON
36.,Likhitha Infra.,247.40,15.36,975.99,10.39,3.62,0.64,4.02,70.03,0.00,0.09,21.03,40.36,-4.68,0.00,36.15,LIKHITHA
37.,Gandhi Spl. Tube,742.55,17.13,902.35,12.28,38.18,-6.16,-0.30,73.53,0.00,1.49,2.06,46.19,-17.31,0.00,35.97,GANDHITUBE
38.,Infinium Pharma,230.40,33.79,320.63,,,,,73.05,0.00,0.00,,48.88,-1.83,0.00,35.88,INFINIUM
39.,CFF Fluid,436.60,61.43,850.24,,,87.54,170.05,73.30,0.00,0.07,,45.43,-14.58,0.01,34.34,543920
40.,Australian Prem,212.40,125.91,419.28,,,,,73.64,,,,47.11,-3.95,,33.35,APS
41.,Saakshi Medtech,233.50,33.30,412.27,,,,,73.63,6.46,3.00,,52.35,-3.17,0.00,33.26,SAAKSHI
42.,Nitta Gelatin,841.55,9.00,764.13,-3.78,-20.59,-3.94,-6.81,74.48,0.12,0.00,-2.29,35.37,-29.10,0.00,33.13,506532
43.,Prevest Denpro,363.25,26.31,436.01,11.00,1.39,3.34,-2.67,73.60,0.68,0.31,20.66,44.35,-11.35,0.00,32.25,543363
44.,Menon Bearings,116.90,23.07,655.11,-0.54,-27.87,-1.50,-11.27,70.18,0.00,0.54,-2.75,38.38,-5.49,0.00,32.10,MENONBE
45.,D P Wires,458.85,17.12,711.24,-26.79,-32.12,-7.72,-30.24,74.78,0.00,0.00,39.11,42.09,-16.24,0.03,31.98,DPWIRES
46.,EKI Energy,323.00,,889.02,-89.32,-165.99,-46.40,49.46,73.40,0.02,0.14,-82.29,24.36,-15.37,-0.01,31.92,543284
47.,Priti Internati.,170.55,21.77,227.74,-21.45,24.60,4.48,-8.04,66.85,0.75,0.00,44.16,40.79,-9.52,0.04,31.91,PRITI
48.,Chaman Metallics,86.20,10.81,208.04,,,-20.76,-12.84,73.60,0.00,0.00,,45.20,-3.50,0.00,31.62,CMNL
49.,Modern Threads,58.95,6.65,205.03,-9.30,-0.42,-3.58,15.64,65.10,11.76,0.00,-0.31,100.00,7.30,0.00,31.47,MODTHREAD
50.,Pyramid Technopl,148.85,18.07,547.54,6.36,-17.01,-2.74,-17.96,74.94,3.18,1.37,,37.77,-7.19,0.00,30.90,PYRAMID
51.,Wise Travel,180.85,42.22,430.64,,,,,69.76,,,,42.68,-7.38,,30.89,WTICAB
52.,Kay Cee,187.65,37.32,205.66,,,,,70.26,4.00,2.04,,30.76,-23.96,,30.64,KCEIL
53.,J.G.Chemicals,186.55,13.47,731.02,,,,,70.99,5.40,7.10,,,1.20,,30.36,JGCHEM
54.,Megatherm,270.00,36.31,508.70,,,,,72.71,,,,45.25,4.23,-26.21,30.13,MEGATHERM
