,Unnamed: 0,SYMBOL,MARKET_CAP,INDUSTRY,SECTOR,MACRO,FNO,P/E,Mar Cap Rs.Cr.,Qtr Sales Var %,Qtr Profit Var %,QoQ Sales %,QoQ Profits %,Prom. Hold. %,DII Hold %,FII Hold %,Exp Qtr Sales Var %,RSI Rs.,MACD Signal Rs.,Change in Prom Hold %,ROCE
0,0,RELIANCE,1966482.0,Petroleum Products,Oil Gas & Consumable Fuels,Energy,1.0,28.18,1968849.2,3.85,9.94,-2.93,-1.19,50.3,16.59,22.13,0.69,51.03,9.2,0.03,9.14
1,1,TCS,1414310.0,IT - Software,Information Technology,Information Technology,True,31.04,1414997.85,4.04,8.54,1.49,-2.49,72.41,10.03,12.46,10.32,38.14,24.13,0.11,58.67
2,2,HDFCBANK,1095851.0,Banks,Financial Services,Financial Services,True,16.11,1096078.95,73.34,35.91,3.96,2.34,0.0,30.54,52.31,61.5,49.09,-4.16,0.0,6.24
3,3,ICICIBANK,764989.0,Banks,Financial Services,Financial Services,True,18.04,765550.41,29.24,25.71,4.95,1.45,0.0,46.0,43.65,35.74,62.89,14.41,0.0,6.32
4,4,BHARTIARTL,699534.0,Telecom - Services,Telecommunication,Telecommunication,True,64.16,731724.45,5.85,34.27,2.31,37.42,54.57,19.51,22.69,10.35,68.6,23.47,-0.18,12.3
5,5,SBIN,666222.0,Banks,Financial Services,Financial Services,True,9.69,666400.77,23.33,3.87,5.1,-30.33,57.49,24.15,10.91,28.34,53.22,11.43,0.0,5.2
6,6,INFY,627360.0,IT - Software,Information Technology,Information Technology,True,25.68,626280.51,1.31,-7.29,-0.44,-1.64,14.78,35.51,33.7,8.44,28.0,-15.22,-0.11,40.48
7,7,LICI,573045.0,Insurance,Financial Services,Financial Services,False,14.21,573266.17,8.32,49.1,5.5,19.17,96.5,1.0,0.06,2.22,40.43,-14.22,0.0,148.72
8,8,ITC,534581.0,Diversified FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True,26.14,534955.81,1.78,6.65,1.38,8.9,0.0,41.98,43.26,1.32,58.68,-2.95,0.0,39.01
9,9,HINDUNILVR,531478.0,Diversified FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,True,51.41,530197.02,-0.19,-0.77,-0.36,-5.61,61.9,12.31,13.65,4.83,29.06,-33.45,0.0,26.55
10,10,LT,496241.0,Construction,Construction,Industrials,True,39.31,497313.52,18.84,18.61,8.04,-6.57,0.0,37.34,25.5,19.95,57.02,33.5,0.0,11.6
11,11,HCLTECH,422463.0,IT - Software,Information Technology,Information Technology,True,26.94,422748.32,6.54,6.2,6.65,13.51,60.81,15.12,19.42,11.02,36.75,4.71,0.0,28.26
12,12,BAJFINANCE,418627.0,Finance,Financial Services,Financial Services,True,30.36,418497.22,31.28,22.4,5.85,2.48,54.78,14.01,20.92,32.94,59.39,-75.57,-1.09,11.77
