Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,High price,High price all time,Down from 52w high,Price200DMARatio,Price50DMARatio,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Return over 1month,Return over 1week
360 ONE,542772,360ONE,Finance & Investments,1011.20,39.81,36879.16,1215.80,1215.80,16.83,1.17,0.97,1.63,243.74,66.53,849.34,48.23,14.47,-8.63,-5.28
3M India,523395,3MINDIA,Diversified - Large,34329.85,68.35,38689.74,41000.00,41000.00,16.27,1.02,0.97,0.47,146.48,25.55,995.04,1.86,33.04,-1.63,-0.57
A B B,500002,ABB,Electric Equipment,7930.40,104.42,168051.82,9200.00,9200.00,13.80,1.14,1.01,0.30,443.49,49.63,2830.86,12.84,30.69,3.66,-2.50
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance - Housing,435.50,24.96,18719.73,516.80,516.80,15.73,1.12,0.99,0.00,200.14,36.79,713.14,20.17,11.36,0.43,-10.82
Aarti Industries,524208,AARTIIND,Chemicals,551.15,41.28,19980.25,769.50,1060.84,28.38,0.87,0.90,0.18,137.00,95.71,1855.00,31.19,7.47,-10.68,-5.53
AAVAS Financiers,541988,AAVAS,Finance - Housing,1776.90,27.73,14062.67,1978.95,3340.00,10.21,1.06,1.00,0.00,126.10,14.94,542.39,16.19,9.91,-2.14,-2.36
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,28104.55,48.20,59722.17,30521.00,30521.00,7.92,1.04,0.98,1.46,328.01,13.01,1557.61,5.32,46.02,-5.26,-3.99
ACC,500410,ACC,Cement - North India,2433.75,22.66,45702.73,2844.00,2844.00,14.43,1.01,0.99,0.31,361.40,-22.47,5154.89,-0.89,17.27,0.58,-2.00
Action Const.Eq.,532762,ACE,Engineering,1321.50,45.64,15736.84,1695.00,1695.00,22.04,1.06,0.98,0.15,84.18,24.62,734.26,12.68,42.30,3.45,-6.86
Adani Energy Sol,539254,ADANIENSOL,Power Generation And Supply,962.75,106.60,115653.49,1348.00,4238.55,28.58,0.92,0.93,0.00,-1190.66,-29.88,5378.55,46.80,9.00,-4.44,-4.70
Adani Enterp.,512599,ADANIENT,Trading,3110.65,85.34,354614.45,3743.90,4190.00,16.91,1.03,1.01,0.04,1772.26,115.93,25472.40,12.49,9.87,3.16,-0.63
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1801.20,211.87,285315.93,2174.10,3050.00,17.15,1.04,0.96,0.00,629.00,32.42,2835.00,31.13,9.81,-4.71,-9.12
