SYMBOL,S.No.,Name,Price,P/E,Cap,QtrSV,QtrPV,QoQS,QoQP,Prom.,DII,FII,ExpQV,Down%,PromC,IntCov,3M-RETURN,SECTOR,FNO
BEL,3.0,Bharat Electron,361.75,53.01,264431.29,38.65,52.51,25.32,20.02,51.14,20.87,17.55,28.14,0.45,0.0,1321.92,39.96,Aerospace & Defence,True
MAZDOCK,1.0,Mazagon Dock,3391.6,49.73,136810.37,33.06,28.76,14.03,37.94,84.83,1.69,2.26,36.72,0.0,0.0,958.27,46.9,Aerospace & Defence,False
SOLARINDS,2.0,Solar Industries,14284.85,115.19,129263.69,38.06,54.86,14.99,11.1,73.15,14.1,5.82,13.7,0.15,0.01,16.05,56.62,Aerospace & Defence,True
BDL,5.0,Bharat Dynamics,1899.0,123.06,69610.2,38.32,8.96,52.75,20.08,74.93,9.45,3.25,10.21,1.8,0.0,272.66,63.85,Aerospace & Defence,False
PARAS,4.0,Paras Defence,1610.85,105.59,6490.66,35.81,105.42,26.19,50.4,57.05,1.54,5.24,45.3,1.24,0.0,15.06,65.9,Aerospace & Defence,False
500306,8.0,Jaykay Enter.,176.0,142.53,2153.69,188.2,894.23,-29.47,829.31,62.31,0.0,0.13,209.62,4.86,1.74,4.04,11.28,Aerospace & Defence,False
523606,7.0,Sika Interplant,840.0,69.33,1780.9,23.84,30.74,21.17,10.78,71.72,0.0,3.11,42.6,3.33,0.0,66.07,75.6,Aerospace & Defence,False
UPL,1.0,UPL,642.35,48.2,52204.56,10.62,826.31,42.78,26.49,33.5,18.56,34.22,8.34,8.16,-0.01,2.81,4.25,Agro Chemicals,True
INDIGO,1.0,Interglobe Aviat,5599.6,35.6,216390.58,13.67,-18.56,30.3,346.97,49.27,20.66,25.12,17.42,0.87,0.0,2.93,32.34,Air Transport Service,True
INDIGO,1.0,Interglobe Aviat,5590.5,35.54,216038.92,13.67,-18.56,30.3,346.97,49.27,20.66,25.12,17.42,1.04,0.0,2.93,32.34,Air Transport Service,True
UNITDSPR,4.0,United Spirits,1540.7,76.36,112062.98,14.36,8.64,20.71,-1.76,56.67,14.59,14.98,7.42,9.37,0.0,28.25,12.76,Alcoholic Beverages,True
RADICO,3.0,Radico Khaitan,2575.0,99.83,34459.6,20.9,59.73,0.76,-5.49,40.23,26.77,16.95,17.93,3.41,-0.01,6.65,26.79,Alcoholic Beverages,False
ABDL,5.0,Allied Blenders,402.25,57.72,11251.37,19.94,3362.24,-5.47,36.8,80.91,4.03,2.73,6.64,9.6,0.0,4.73,25.18,Alcoholic Beverages,False
INDIAGLYCO,1.0,India Glycols,1748.3,25.85,5413.02,7.85,36.46,1.46,14.28,61.01,0.91,2.24,30.28,1.23,0.0,2.62,52.58,Alcoholic Beverages,False
SHRIPISTON,2.0,Shriram Pistons,2385.0,20.73,10505.89,15.52,25.84,16.57,25.26,43.75,13.15,5.3,14.96,4.6,0.0,24.94,24.24,Auto Ancillaries,False
