Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,High price,High price all time,Down from 52w high,Price200DMARatio,Price50DMARatio,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Return over 1month,Return over 1week
D-Link India,533146,DLINKINDIA,Trading,566.05,20.74,2003.25,728.80,728.80,22.33,1.14,1.01,1.41,26.38,14.00,335.18,9.54,29.48,9.02,4.93
Som Distilleries,507514,SDBL,Breweries & Distilleries,103.43,20.61,2004.04,148.90,156.00,30.54,0.93,0.97,0.00,18.70,25.93,289.73,16.96,19.43,1.54,-2.04
JITF Infra Logis,540311,JITFINFRA,Miscellaneous,778.30,130.94,2007.74,1215.00,1215.00,35.94,0.99,0.94,0.00,113.30,-776.69,480.59,-33.26,15.96,12.11,2.76
Tatva Chintan,543321,TATVA,Chemicals,858.70,114.01,2008.91,1650.85,2977.80,47.98,0.78,0.94,0.23,-0.66,-108.48,83.49,-13.63,7.02,4.91,3.24
Yasho Industries,541167,YASHO,Chemicals,1770.05,60.37,2015.23,2426.65,2426.65,27.06,0.96,0.95,0.03,4.36,-62.61,163.90,16.17,12.76,-2.71,3.62
Man Industries,513269,MANINDS,Steel - Medium / Small,311.25,19.08,2015.55,513.70,513.70,39.41,0.88,0.94,0.64,31.86,-18.39,806.23,-20.80,14.43,2.66,2.27
Alpex Solar,,ALPEXSOLAR,Electric Equipment,824.15,50.20,2016.98,1131.70,1131.70,27.18,1.13,0.96,0.00,25.12,,265.13,24.61,27.45,6.58,-5.65
IKIO Lighting,543923,IKIO,Electric Equipment,261.15,37.51,2017.01,363.95,477.15,28.25,0.88,0.96,0.38,12.92,-29.17,125.04,6.04,21.70,0.06,3.69
MIC Electronics,532850,MICEL,Electronics - Components,84.32,35.99,2029.06,114.79,217.56,26.54,1.17,0.95,0.00,2.11,25.60,11.20,57.75,12.31,-2.31,-2.01
Orient Green,533263,GREENPOWER,Power Generation And Supply,17.39,80.68,2036.32,32.05,40.31,45.74,0.91,0.92,0.00,66.46,4.67,124.04,1.42,6.97,-4.35,-2.41
Cosmo First,508814,COSMOFIRST,Packaging,776.25,19.69,2036.44,998.50,1428.00,22.26,1.06,1.01,0.39,45.75,112.30,758.92,14.37,6.87,4.04,4.67
Camlin Fine,532834,CAMLINFINE,Chemicals,121.41,,2036.90,143.40,230.80,15.33,1.08,1.10,0.00,-116.11,182.45,422.97,4.21,1.31,23.06,-0.19
Ecos (India),544239,ECOSMOBLTY,Travel Agencies,339.65,36.04,2038.20,593.70,593.70,42.79,0.78,0.84,0.00,15.75,-4.37,159.59,15.75,42.86,-8.15,1.54
Rupa & Co,533552,RUPA,Textiles - Products,257.05,26.62,2040.58,362.00,590.00,28.99,0.92,0.95,1.17,18.44,-10.18,297.10,-1.65,10.13,1.70,5.41
Talbros Auto.,505160,TALBROAUTO,Auto Ancillaries,331.55,23.58,2047.97,395.80,395.80,16.23,1.09,1.06,0.21,23.41,16.87,215.38,11.00,21.42,11.58,12.09
Navkar Corporat.,539332,NAVKARCORP,Miscellaneous,136.67,,2057.14,164.40,247.00,16.87,1.14,1.03,0.00,-2.30,-161.14,133.12,40.75,1.51,14.34,0.37
Panama Petrochem,524820,PANAMAPET,Petrochemicals,340.55,10.48,2059.80,452.50,452.50,24.74,0.92,0.93,2.06,44.09,-6.03,698.91,21.67,24.49,-6.88,9.71
TTK Healthcare,507747,TTKHLTCARE,Diversified - Medium / Small,1458.30,31.87,2062.23,1923.00,1923.00,24.17,0.96,0.94,0.69,17.20,7.43,198.49,6.85,8.67,-3.55,-0.46
DEE Development,544198,DEEDEV,Steel - Medium / Small,298.20,44.50,2062.44,400.00,400.00,25.45,0.95,1.06,0.00,22.26,125.08,194.02,8.63,9.68,25.19,6.40
Hind Rectifiers,504036,HIRECT,Electronics - Components,1204.75,67.98,2064.69,1279.55,1279.55,5.85,1.47,1.15,0.10,10.19,156.03,165.84,25.66,15.92,18.40,3.77
