S.No.,Name,Price,P/E,Cap,QtrSV,QtrPV,QoQS,QoQP,Prom.,DII,FII,ExpQV,Down%,PromC,IntCov,3M-RETURN,SYMBOL,SECTOR
1.,Mazagon Dock,3391.60,49.73,136810.37,33.06,28.76,14.03,37.94,84.83,1.69,2.26,36.72,0.00,0.00,958.27,46.90,MAZDOCK,Aerospace & Defence
2.,Solar Industries,14284.85,115.19,129263.69,38.06,54.86,14.99,11.10,73.15,14.10,5.82,13.70,0.15,0.01,16.05,56.62,SOLARINDS,Aerospace & Defence
3.,Bharat Electron,361.75,53.01,264431.29,38.65,52.51,25.32,20.02,51.14,20.87,17.55,28.14,0.45,0.00,1321.92,39.96,BEL,Aerospace & Defence
4.,Paras Defence,1610.85,105.59,6490.66,35.81,105.42,26.19,50.40,57.05,1.54,5.24,45.30,1.24,0.00,15.06,65.90,PARAS,Aerospace & Defence
5.,Bharat Dynamics,1899.00,123.06,69610.20,38.32,8.96,52.75,20.08,74.93,9.45,3.25,10.21,1.80,0.00,272.66,63.85,BDL,Aerospace & Defence
6.,Astra Microwave,1025.25,72.42,9734.28,11.91,9.34,12.60,86.81,6.54,15.30,5.30,23.48,3.26,0.00,5.12,60.09,ASTRAMICRO,Aerospace & Defence
7.,Sika Interplant,840.00,69.33,1780.90,23.84,30.74,21.17,10.78,71.72,0.00,3.11,42.60,3.33,0.00,66.07,75.60,523606,Aerospace & Defence
8.,Jaykay Enter.,176.00,142.53,2153.69,188.20,894.23,-29.47,829.31,62.31,0.00,0.13,209.62,4.86,1.74,4.04,11.28,500306,Aerospace & Defence
9.,Apollo Micro Sys,140.20,76.66,4296.98,62.46,82.39,-7.67,16.19,55.12,0.37,0.93,59.27,10.70,0.01,4.02,19.89,APOLLO,Aerospace & Defence
10.,Hind.Aeronautics,5062.95,40.50,338597.41,-7.24,-7.71,96.91,176.20,71.64,8.26,12.08,2.83,10.79,0.00,619.32,38.45,HAL,Aerospace & Defence
11.,Garden Reach Sh.,2495.15,54.15,28582.47,61.66,118.86,29.19,148.75,74.50,1.90,3.85,42.52,11.98,0.00,238.90,67.21,GRSE,Aerospace & Defence
