Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,High price,High price all time,Down from 52w high,Price200DMARatio,Price50DMARatio,Dividend yield,Net Profit latest quarter,Sales latest quarter,Return on capital employed,Return over 1month,Return over 1week,Price to book value,EVEBITDA,YOY Quarterly sales growth,YOY Quarterly profit growth,Sales growth 3Years,Profit growth 3Years,Promoter holding,OPM,Interest Coverage Ratio
360 ONE,542772,360ONE,Finance & Investments,1250.90,49.26,48569.54,1312.10,1312.10,4.66,1.29,1.10,1.32,245.49,862.76,14.47,12.18,0.11,11.67,26.65,56.87,32.05,20.86,29.42,14.78,56.71,2.60
3M India,523395,3MINDIA,Diversified - Large,30436.00,60.60,34301.37,41000.00,41000.00,25.77,0.91,0.94,0.53,133.78,1110.80,33.04,-5.61,-1.23,20.59,40.90,6.86,-8.44,17.50,53.48,75.00,18.28,90.03
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,906.65,63.55,4177.71,1079.85,3048.00,16.04,1.80,1.26,0.22,-24.07,38.45,6.70,36.74,-7.49,1.26,41.76,-75.78,-123.84,43.36,147.67,45.63,-36.77,30.72
A B B,500002,ABB,Electric Equipment,6846.90,85.96,145091.55,9200.00,9200.00,25.58,0.95,0.92,0.35,440.45,2912.16,30.69,-7.74,-1.07,22.88,58.16,5.16,21.68,21.52,92.69,75.00,17.83,117.11
A B Real Estate,500040,ABREL,Paper,2503.55,179.09,27963.57,3141.95,3141.95,20.32,1.08,0.93,0.20,2.82,1127.56,8.31,-9.05,-4.75,6.90,45.56,30.67,217.42,19.93,54.05,50.21,12.73,10.15
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance - Housing,424.55,21.93,18284.50,516.80,516.80,17.85,1.04,0.98,0.00,227.51,764.27,11.36,-1.89,0.07,3.11,14.33,21.59,15.31,17.98,30.11,75.89,76.25,1.99
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,450.35,33.11,4140.29,635.00,1026.95,29.08,0.91,0.97,0.22,30.39,543.09,13.68,-2.27,5.16,3.57,18.85,-5.96,-12.12,5.79,-18.02,55.64,11.37,6.72
Aarti Industries,524208,AARTIIND,Chemicals,411.25,33.65,14908.63,769.50,1060.84,46.56,0.73,0.88,0.24,52.00,1628.00,7.47,-8.26,1.83,2.74,17.37,11.97,-45.05,12.25,-7.08,42.61,14.94,2.75
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,677.45,26.92,6139.46,721.70,721.70,6.13,1.15,1.09,0.44,54.62,458.03,16.62,6.87,18.65,3.31,15.68,4.15,5.44,,,46.10,20.49,17.15
AAVAS Financiers,541988,AAVAS,Finance - Housing,1661.55,24.66,13150.13,1978.95,3340.00,16.04,0.99,0.99,0.00,147.91,579.16,9.91,-0.69,-0.23,3.25,14.81,16.61,21.52,22.29,19.22,26.47,75.02,1.74
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,29263.50,48.41,62184.94,30521.00,30521.00,4.12,1.06,1.03,1.40,358.61,1632.67,46.02,5.56,2.12,17.66,33.75,9.27,14.59,10.71,20.24,74.99,25.51,154.92
ACC,500410,ACC,Cement - North India,2065.60,20.96,38789.34,2844.00,2844.00,27.37,0.88,0.93,0.36,199.70,4613.52,17.27,-7.06,0.09,2.32,11.53,4.03,-42.45,13.13,11.85,56.69,14.22,14.10
Achal Investment,538570,,Finance & Investments,0.28,,6152.04,,58.00,,0.19,0.60,0.00,0.00,0.00,0.13,,,0.17,307825.00,,-100.00,,-26.32,,,
ACME Solar Hold.,544283,ACMESOLAR,Engineering - Turnkey Services,239.45,117.82,14488.83,292.40,292.40,18.11,0.94,0.94,0.00,15.30,259.59,8.41,-12.71,2.79,,19.09,-19.71,-19.09,-7.96,51.50,83.41,82.56,1.21
Action Const.Eq.,532762,ACE,Engineering,1446.25,47.10,17222.41,1695.00,1695.00,14.68,1.12,1.05,0.14,94.82,756.69,42.30,10.56,-3.03,12.45,31.68,12.40,28.25,33.41,63.04,65.41,14.27,15.92
Adani Energy Sol,539254,ADANIENSOL,Power Generation And Supply,805.95,65.24,96817.37,1348.00,4238.55,40.21,0.83,0.95,0.00,773.39,6183.70,9.00,-4.11,5.00,4.61,18.14,68.32,144.66,18.71,-5.05,69.94,30.73,1.67
Adani Enterp.,512599,ADANIENT,Trading,2409.95,49.28,278151.79,3743.90,4190.00,35.63,0.84,0.92,0.05,1989.19,22608.07,9.87,-2.16,2.77,6.56,22.10,15.66,577.60,34.60,48.28,74.72,13.58,3.01
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1054.00,129.51,166957.02,2174.10,3050.00,51.52,0.67,0.79,0.00,515.00,3055.00,9.65,-20.39,1.90,15.79,24.32,37.61,-15.03,43.44,67.90,60.94,76.11,1.37
Adani Ports,532921,ADANIPORTS,Miscellaneous,1230.70,25.99,265848.30,1621.40,1621.40,24.10,0.94,0.96,0.49,2412.54,7067.02,12.93,3.42,4.08,4.65,16.50,6.33,40.37,28.63,21.06,65.89,60.35,5.68
Adani Power,533096,ADANIPOWER,Power Generation And Supply,506.75,15.41,195450.38,896.75,896.75,43.49,0.86,0.92,0.00,3297.52,13338.88,32.25,-8.66,1.78,3.49,9.83,2.68,-49.99,24.29,153.37,74.96,38.36,5.89
Adani Total Gas,542066,ATGL,Miscellaneous,679.30,106.42,74710.10,1197.95,4000.00,43.29,0.83,0.95,0.04,185.60,1218.65,21.20,-16.38,0.73,19.10,61.31,11.23,7.48,38.19,12.13,74.80,25.10,9.59
Adani Wilmar,543458,AWL,Solvent Extraction,329.20,40.63,42785.42,408.95,878.35,19.50,0.97,1.03,0.00,325.73,13994.39,10.41,4.96,13.17,4.80,17.76,19.41,954.26,9.91,-23.22,87.87,3.87,3.24
ADF Foods,519183,ADFFOODS,Food - Processing - Indian,301.40,42.35,3311.29,353.95,353.95,14.85,1.14,0.97,0.40,19.67,161.39,19.54,-9.39,-7.81,7.15,26.52,29.51,31.75,12.05,12.20,36.16,19.17,43.18
