Date,NIFTY 50,NIFTY BANK,NIFTY FINANCIAL SERVICES,NIFTY 500,NIFTY MIDCAP 100,NIFTY SMALLCAP 100,INDIA VIX,NIFTY MICROCAP 250,NIFTY AUTO,NIFTY FMCG,NIFTY IT,NIFTY MEDIA,NIFTY METAL,NIFTY PHARMA,NIFTY PSU BANK,NIFTY PRIVATE BANK,NIFTY HEALTHCARE INDEX,NIFTY COMMODITIES,NIFTY PSE,NIFTY CAPITAL MARKETS,NIFTY IPO
2024-05-06,14450.10,48895.30,21743.70,20864.95,50662.20,16683.15,16.60,20599.60,22526.60,54660.15,33217.10,1811.15,9189.75,19203.30,7252.85,24398.45,12117.45,8744.30,9982.50,,
2024-05-07,14253.95,48285.35,21543.50,20636.05,49674.45,16367.05,17.01,20288.55,22114.00,55765.55,33473.00,1784.95,8969.90,18846.30,7085.45,24044.30,11877.20,8568.20,9733.35,,
2024-05-08,14310.90,48021.10,21428.35,20704.90,50036.30,16461.05,17.08,20445.50,22458.65,56008.80,33335.15,1800.60,9102.35,18850.85,7147.60,23849.75,11875.60,8634.50,9966.25,,
2024-05-09,14070.00,47487.90,21093.50,20344.80,49109.15,15995.70,18.20,19908.90,22633.30,54625.10,33205.85,1768.40,8841.25,18437.05,7095.20,23508.90,11630.00,8424.60,9626.60,,
2024-05-10,14176.00,47421.10,21094.15,20469.10,49532.30,16106.75,18.47,20119.60,22846.90,55276.50,32935.15,1772.40,8977.45,18609.45,7074.35,23550.65,11748.30,8536.15,9768.75,,
2024-05-13,14227.05,47754.10,21249.80,20511.00,49735.40,16037.80,20.60,20065.15,22462.65,55340.70,33074.60,1768.55,9094.80,18939.00,6987.30,23753.00,11933.75,8539.95,9734.45,,
2024-05-14,14344.15,47859.45,21254.55,20683.80,50225.20,16363.15,20.20,20488.10,22874.80,55054.30,33122.85,1781.50,9347.15,18860.85,7060.15,23796.05,11900.35,8683.20,9915.75,,
2024-05-15,14417.80,47687.45,21186.00,20741.85,50707.75,16457.45,20.27,20723.75,22759.85,54555.95,33117.40,1772.45,9376.90,18886.55,7160.75,23716.65,11931.10,8753.50,10090.30,,
2024-05-16,14553.45,47977.05,21416.10,20929.05,51153.30,16596.40,20.00,20849.25,22886.85,54997.00,33668.45,1794.15,9405.40,18996.15,7097.55,23875.10,12038.60,8783.30,10193.65,,
2024-05-17,14662.75,48115.65,21478.30,21064.55,51604.90,16870.80,19.80,21086.00,23285.65,55064.70,33381.85,1811.80,9557.95,18981.60,7109.25,23931.65,12023.30,8863.85,10331.30,,
2024-05-18,14722.85,48199.50,21502.15,21144.45,51869.25,17009.60,20.53,21230.00,23339.30,55217.85,33438.75,1834.35,9608.80,19108.00,7156.80,23969.80,12094.40,8883.95,10445.00,,
2024-05-21,14765.25,48048.20,21438.20,21187.65,52068.30,16939.85,21.81,21194.15,23353.75,54969.25,33379.75,1857.35,9981.15,19205.20,7264.75,23828.90,12146.45,9066.35,10664.15,,
2024-05-22,14806.70,47781.95,21326.70,21237.75,52167.50,16880.50,21.47,21229.30,23324.10,55753.90,33613.05,1870.90,9919.45,19317.40,7240.30,23730.15,12211.85,9094.00,10687.75,,
2024-05-23,14948.75,48768.60,21731.65,21489.55,52418.55,16911.90,21.38,21205.00,23849.25,55899.00,34042.85,1877.40,9959.45,19216.35,7364.95,24203.95,12115.95,9140.95,10696.45,,
2024-05-24,14944.35,48971.65,21852.30,21483.75,52424.45,16883.00,21.71,21114.45,23891.45,55449.15,33824.30,1897.00,9928.40,19119.50,7359.05,24303.50,12043.50,9141.85,10825.90,,
2024-05-27,14966.85,49281.80,21965.60,21493.00,52761.75,17019.65,23.19,20930.20,23877.15,55260.50,33995.25,1878.60,9866.40,19111.95,7456.75,24435.10,12044.00,9101.20,10801.20,,
2024-05-28,14881.50,49142.15,21982.15,21387.35,52294.80,16875.60,24.20,20712.80,23814.25,55271.95,33880.85,1884.45,9815.05,19215.75,7361.10,24359.15,12095.20,9028.80,10653.85,,
2024-05-29,14804.00,48501.35,21620.45,21256.30,52125.75,16886.00,24.18,20767.40,23757.95,54974.25,33542.70,1887.75,9841.20,19321.35,7325.30,24026.70,12146.75,8974.75,10621.20,,
2024-05-30,14648.75,48682.35,21597.30,21038.55,51426.85,16612.85,24.18,20433.25,23471.00,54280.10,32806.75,1896.85,9545.25,18971.00,7292.40,24102.80,11921.50,8825.80,10440.55,,
2024-05-31,14708.60,48983.95,21718.30,21103.30,51705.70,16696.70,24.60,20648.90,23419.60,54107.35,32386.10,1870.40,9723.60,18796.30,7386.00,24224.10,11795.10,8885.60,10511.10,,
2024-06-03,15186.90,50979.95,22596.40,21797.40,53353.35,17098.70,20.94,21040.30,23992.70,54653.60,32511.35,1929.05,10048.55,18864.15,8006.15,25032.45,11847.90,9364.05,11331.80,,
2024-06-04,14145.35,46928.60,20819.50,20323.85,49150.80,15692.15,26.75,19512.95,23193.30,55172.50,32315.55,1802.00,8980.15,18603.15,6794.25,23269.30,11737.85,8370.70,9475.10,,
2024-06-05,14671.45,49054.60,21682.60,21054.40,51266.70,16289.40,18.89,20130.25,24283.75,57567.40,33087.95,1873.40,9496.60,19281.25,6989.75,24462.70,12162.90,8693.70,9713.15,,
2024-06-06,14913.45,49291.90,21894.90,21365.00,52413.70,16826.10,16.80,20765.85,24396.70,57373.60,34023.80,1942.35,9632.50,19232.10,7193.70,24456.25,12152.80,8817.80,10070.20,,
2024-06-07,15161.15,49803.20,22165.80,21764.15,53194.70,17215.55,16.88,21254.95,25020.20,57953.35,35169.90,1970.65,9833.60,19578.00,7281.90,24706.90,12337.80,9011.55,10296.30,,
2024-06-10,15191.30,49780.90,22154.85,21808.25,53235.75,17475.15,16.40,21553.00,25022.65,57991.75,34526.25,2007.40,9795.85,19774.70,7333.85,24684.90,12413.25,9078.95,10340.20,,
2024-06-11,15255.60,49705.75,22125.45,21852.00,53666.50,17571.60,14.77,21903.95,25230.80,57792.85,34531.45,2042.55,9789.55,19689.70,7344.60,24644.20,12350.90,9106.10,10476.60,,
2024-06-12,15358.65,49895.10,22232.40,21960.95,54226.10,17788.30,14.39,22189.25,25217.60,57495.55,34547.45,2081.20,9838.35,19739.10,7429.55,24740.35,12455.25,9159.30,10622.45,,
