,Code,Company,SecurityID,MarketCapFull,MarketCapFreeFloat,Industry
0,500002,ABB India Limited,ABB,"1,35,813.14 Cr.","33,953.28 Cr.",Capital Goods
1,500003,AEGIS LOGISTICS LTD.,AEGISLOG,"22,321.85 Cr.","8,035.86 Cr.","Oil, Gas & Consumable Fuels"
2,500008,AMARA RAJA BATTERIES LTD.,ARE&M,"20,379.87 Cr.","14,673.51 Cr.",Automobile and Auto Components
3,500009,AMBALAL SARABHAI ENTERPRISES LTD.,AMBALALSA,358.80 Cr.,247.57 Cr.,Healthcare
4,500012,ANDHRA PETROCHEMICALS LTD.,ANDHRAPET,796.69 Cr.,414.28 Cr.,Chemicals
5,500013,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,ANSALAPI,165.59 Cr.,84.45 Cr.,Realty
6,500014,Utique Enterprises Ltd,UTIQUE,52.72 Cr.,36.38 Cr.,Metals & Mining
7,500016,ARUNA HOTELS LTD.,ARUNAHTEL,41.26 Cr.,18.15 Cr.,Consumer Services
8,500020,BOMBAY DYEING & MFG.CO.LTD.,BOMDYEING,"3,464.62 Cr.","1,593.73 Cr.",Textiles
9,500023,Asian Hotels (North) Limited,ASIANHOTNR,287.32 Cr.,129.30 Cr.,Consumer Services
10,500027,ATUL LTD.,ATUL,"17,455.28 Cr.","9,425.85 Cr.",Chemicals
11,500028,ATV PROJECTS INDIA LTD.,ATVPR,117.28 Cr.,85.62 Cr.,Capital Goods
12,500031,BAJAJ ELECTRICALS LTD.,BAJAJELEC,"10,800.78 Cr.","3,888.28 Cr.",Consumer Durables
13,500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,"4,348.13 Cr.","3,087.17 Cr.",Fast Moving Consumer Goods
14,500033,FORCE MOTORS LTD.,FORCEMOT,"12,491.51 Cr.","4,621.86 Cr.",Automobile and Auto Components
15,500034,Bajaj Finance Limited,BAJFINANCE,"4,16,575.24 Cr.","1,87,458.86 Cr.",Financial Services
16,500038,BALRAMPUR CHINI MILLS LTD.,BALRAMCHIN,"7,969.80 Cr.","4,542.79 Cr.",Fast Moving Consumer Goods
17,500039,BANCO PRODUCTS (INDIA) LTD.,BANCOINDIA,"4,502.46 Cr.","1,395.76 Cr.",Automobile and Auto Components
